,App,Category,Rating,Reviews,Size,Installs,Type,Price,ContentRating,Genres,LastUpdated,CurrentVer,AndroidVer,cat_ART_AND_DESIGN,cat_AUTO_AND_VEHICLES,cat_BEAUTY,cat_BOOKS_AND_REFERENCE,cat_BUSINESS,cat_COMICS,cat_COMMUNICATION,cat_DATING,cat_EDUCATION,cat_ENTERTAINMENT,cat_EVENTS,cat_FAMILY,cat_FINANCE,cat_FOOD_AND_DRINK,cat_GAME,cat_HEALTH_AND_FITNESS,cat_HOUSE_AND_HOME,cat_LIBRARIES_AND_DEMO,cat_LIFESTYLE,cat_MAPS_AND_NAVIGATION,cat_MEDICAL,cat_NEWS_AND_MAGAZINES,cat_PARENTING,cat_PERSONALIZATION,cat_PHOTOGRAPHY,cat_PRODUCTIVITY,cat_SHOPPING,cat_SOCIAL,cat_SPORTS,cat_TOOLS,cat_TRAVEL_AND_LOCAL,cat_VIDEO_PLAYERS,cat_WEATHER
0,5805,ART_AND_DESIGN,4.1,159,19,10000,1,0,1,Art & Design,7-Jan-18,1.0.0,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2134,ART_AND_DESIGN,3.9,967,14,500000,1,0,1,Art & Design;Pretend Play,15-Jan-18,2.0.0,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7321,ART_AND_DESIGN,4.7,87510,8.7,5000000,1,0,1,Art & Design,1-Aug-18,1.2.4,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6572,ART_AND_DESIGN,4.5,215644,25,50000000,1,0,4,Art & Design,8-Jun-18,Varies with device,4.2 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5860,ART_AND_DESIGN,4.3,967,2.8,100000,1,0,1,Art & Design;Creativity,20-Jun-18,1.1,4.4 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5732,ART_AND_DESIGN,4.4,167,5.6,50000,1,0,1,Art & Design,26-Mar-17,1,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6621,ART_AND_DESIGN,3.8,178,19,50000,1,0,1,Art & Design,26-Apr-18,1.1,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4400,ART_AND_DESIGN,4.1,36815,29,1000000,1,0,1,Art & Design,14-Jun-18,6.1.61.1,4.2 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3882,ART_AND_DESIGN,4.4,13791,33,1000000,1,0,1,Art & Design,20-Sep-17,2.9.2,3.0 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4589,ART_AND_DESIGN,4.7,121,3.1,10000,1,0,1,Art & Design;Creativity,3-Jul-18,2.8,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7039,ART_AND_DESIGN,4.4,13880,28,1000000,1,0,1,Art & Design,27-Oct-17,1.0.4,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5422,ART_AND_DESIGN,4.4,8788,12,1000000,1,0,1,Art & Design,31-Jul-18,1.0.15,4.0 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6990,ART_AND_DESIGN,4.2,44829,20,10000000,1,0,4,Art & Design,2-Apr-18,3.8,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4974,ART_AND_DESIGN,4.6,4326,21,100000,1,0,1,Art & Design,26-Jun-18,1.0.4,4.4 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,53,ART_AND_DESIGN,4.4,1518,37,100000,1,0,1,Art & Design,3-Aug-18,1.2.3,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5803,ART_AND_DESIGN,4.7,3632,5.5,500000,1,0,1,Art & Design,31-Jul-18,3.1,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
